/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A10_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A11_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A12_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A1_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A2_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A3_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A4_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A5_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A6_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A7_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A8_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A9_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B10_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B11_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B12_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B1_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B2_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B3_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B4_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B5_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B6_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B7_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B8_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B9_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C10_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C11_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C12_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C1_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C2_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C3_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C4_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C5_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C6_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C7_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C8_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C9_03_1_Bright Field_1_
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.9878153494271155e-8,9.611677736196549e-8,6.507810277974009e-7,6.63859132032043e-6,0.0,1.3130545478352572e-6,3.0222301792050127e-5,1.1793565044532909e-5,1.4148792764960554e-5,1.5106298005412323e-6,0.0,-4.773562609129241e-7,0.0,1.4807827988543482e-7,0.0,1.417664163106138e-6,6.427855558299454e-7,6.752328695869176e-7,9.390011987649019e-6,8.701702008901216e-6,1.4207332387523608e-6,1.0155796723130137e-7,4.7262839127225773e-7,2.4685813222548385e-7,1.1600001625542112e-7,0.0,3.063749580564757e-5,0.0,0.0,2.848916193568759e-7,3.189126591225509e-6,4.139111701430182e-5,0.00027201128725079456,8.786642236140548e-6,1.47227500824042e-5,1.2417732437445404e-5
4.064766831029918e-6,3.810427729514573e-5,2.886227271866017e-5,1.275720371467013e-5,0.0,8.878521359074075e-6,6.351360300303918e-5,1.8654719995085e-5,2.381180566344915e-5,4.0634833471578615e-6,0.0,7.44265775514533e-7,2.2883179184001534e-7,9.671615960464444e-6,0.0,1.0714575415646417e-5,4.06195090490554e-5,1.5259813447455886e-6,8.732803022490135e-6,1.8718279989922034e-5,3.6229305479209747e-6,5.818755485114541e-7,4.953811317755306e-7,5.666011871153309e-7,2.6575128410230913e-5,1.5274578979755245e-5,0.0006835880134503075,4.2128870623272315e-7,0.0,8.048083332252663e-6,3.381632041655182e-5,0.00044522027838095536,0.0050261934227619634,0.00011234102654315384,0.0009358555595963286,0.00024264189748281195
3.182668920683562e-6,4.225380058321393e-5,3.09199406111521e-5,1.5392979633337457e-5,9.348357715332928e-7,8.799589481485817e-6,6.836701898175038e-5,2.4464244959769217e-5,2.6600828497902332e-5,9.79296045191261e-6,0.0,1.3824458777701757e-6,3.097474718653001e-7,1.2288846402345887e-5,0.0,1.1431327327282229e-5,4.034942283987539e-5,7.837156182605631e-7,1.0865563362490257e-5,2.8693658600155082e-5,2.9649831245015614e-6,3.590100582759433e-7,1.4490545186950797e-6,1.2140705927075145e-6,3.0537058977255773e-5,1.5899420231346016e-5,0.0008201981676815062,7.190558504125069e-7,0.0,1.1729469228211261e-5,2.9716030110352123e-5,0.0005014729558713432,0.005451393615634528,0.0001322144640099525,0.0010321606665971374,0.00026152615711089123
5.309949156706343e-6,6.408863653028138e-5,3.101446853618632e-5,1.848918102733326e-5,5.429385268069499e-6,3.281548513296344e-5,8.17090668271152e-5,3.6371805265940695e-5,3.523816605440161e-5,8.712492135956218e-6,0.0,6.266885958093403e-7,1.1827230027123146e-6,1.6137016886103313e-5,3.29606956850569e-7,1.4296134032099328e-5,4.6320257564854987e-5,1.984125799543357e-5,1.747070902816465e-5,4.6953896599047186e-5,9.009959890673582e-6,1.188603855429077e-6,1.411795708794977e-6,5.324200268101233e-7,3.230394235365513e-5,1.8040733072407123e-5,0.0009040051255527065,4.410300332776957e-6,0.0,1.964982951704398e-5,3.4204834643857764e-5,0.0005349248341745836,0.005766832688336356,0.00014367552584595994,0.0011203745548345465,0.0002935960195114338
8.958826028433228e-6,9.051663499703451e-5,3.7708785261041934e-5,4.232739703459355e-5,2.2399801513032225e-5,7.618724518316043e-5,8.5613435859312e-5,3.677878642566527e-5,3.9182741536576736e-5,2.0472375075320174e-5,1.0003936132472263e-6,1.7911226390152082e-6,3.5833463151014585e-6,2.0994308003642335e-5,2.27218686402868e-6,3.3727264692060646e-5,5.348267637303678e-5,7.29694901435599e-5,2.816703394219459e-5,5.1016488211337894e-5,1.2746229108652974e-5,6.756994963162808e-6,3.2495361011637602e-6,7.026931992833088e-7,3.4506725161437955e-5,2.8056728334646443e-5,0.0009993545496146446,2.112422278686448e-5,1.2344889907250796e-5,3.936634744466076e-5,4.432274109463643e-5,0.0005523990681442302,0.005836289100412242,0.00015716767081304093,0.0011672661180098264,0.0003136861143913747
1.4443783742354365e-5,6.607122116258209e-5,4.206523329286095e-5,8.408178037207444e-5,3.9218416970745464e-5,0.00011309620276622063,9.578844545477671e-5,3.783115069580353e-5,4.5775774531117216e-5,1.711088754701482e-5,2.3051879702117444e-6,4.2880844728514027e-7,8.606650629414145e-6,3.583319663070976e-5,5.294525235440781e-6,6.06253314623272e-5,6.330299675304802e-5,0.00012451492735023707,2.04400260161275e-5,4.8121026255717695e-5,1.229013015046752e-5,8.183606588771311e-6,4.807012031562822e-6,1.3529659500078964e-6,3.849982264420014e-5,3.0139505512791106e-5,0.0010734255093060804,3.8614945362268624e-5,3.340339950955683e-5,7.183031835512046e-5,3.838368205841614e-5,0.0005738738531038777,0.006035437064857409,0.00018120839135406943,0.0011648468742264965,0.0003426582288231289
9.326096559368157e-6,1.601366613567551e-5,5.909148090946372e-5,0.00012103717042788501,6.434341383162097e-5,0.00015608034335322227,0.0001040803532848497,4.565929560672217e-5,3.921609783327612e-5,2.1659258805032456e-5,2.2557896988576088e-6,2.74091743996085e-6,1.1757232390545525e-5,7.849704517540194e-5,7.572813988256833e-6,9.420329832275688e-5,5.957070334403255e-5,0.00019453496090877375,1.6312208580046615e-5,5.06539062055325e-5,9.693118363876882e-6,6.009380496047561e-6,4.378447594672505e-6,2.887019640096202e-6,1.8818448654472228e-5,1.313036337870397e-5,0.00045190419796834223,7.935547572954292e-5,5.01001106771502e-5,0.00012168121442422817,4.445661675964866e-5,0.0001821663784618286,0.0009468718626361434,0.00014338721787547038,0.00047371753734441264,0.00022683661466008174
1.9491742865447684e-5,3.893728560929069e-5,7.293773952456888e-5,0.00015920654982841186,0.000107861363407141,0.00021043812239105735,0.00011894585708282273,4.865325423714808e-5,3.9902542829297176e-5,4.1605089011850454e-5,7.046526370855679e-6,2.221332745161961e-5,2.9878386612699846e-5,7.736438423198572e-5,1.9786341276744034e-5,0.00012140039764898086,9.513387876624976e-5,0.0002584424901315501,2.385627124234763e-5,8.850349663276467e-5,1.408499277368125e-5,1.7340801996211724e-5,5.727991608166151e-6,8.008256940619531e-6,4.299182875208811e-5,3.7457499435987966e-5,0.0004699667956203263,9.67444312403766e-5,0.00010155021710681509,0.0001665194044831519,4.748317975363935e-5,0.0001883024431795796,0.0009393858602574346,0.00015181115218877885,0.00047481660319515135,0.00024538159906682
3.9537884047128956e-5,7.879084586330607e-5,9.075756115022829e-5,0.0002165930084967297,0.00012029813416562875,0.00024121106593670493,0.0001195980137720753,5.807635744375862e-5,5.928803215995114e-5,4.388081840703835e-5,1.4941335124164364e-5,3.1491007916949994e-5,4.456327586558364e-5,0.0001119262199904438,2.6096261445934027e-5,0.00014376053065796542,0.00011797464698689587,0.0003102546298071871,3.769336668863295e-5,7.747285903316743e-5,1.7053605678149684e-5,4.417256941287494e-5,1.1427205771280638e-5,1.9586709284562417e-5,5.7003548914916867e-5,5.121762825731058e-5,0.00041693563300210197,0.0001321818876363814,0.00013762272978743763,0.00021846468726107796,5.551301860964119e-5,0.000189885260626453,0.0009437435316381043,0.00018542553500629826,0.0004905220814473848,0.000240068454568351
