/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A10_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A11_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A12_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A1_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A2_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A3_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A4_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A5_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A6_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A7_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A8_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A9_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B10_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B11_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B12_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B1_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B2_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B3_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B4_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B5_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B6_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B7_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B8_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B9_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C10_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C11_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C12_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C1_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C2_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C3_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C4_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C5_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C6_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C7_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C8_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C9_03_1_Bright Field_1_
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.984702639862073e-8,9.613265697409672e-8,6.505537279404474e-7,6.637416081636248e-6,0.0,1.3117008715468135e-6,3.0210595085338147e-5,1.1788798692313725e-5,1.4146528095641467e-5,1.5102928186687528e-6,0.0,-4.755830956422559e-7,0.0,1.4795474306113997e-7,0.0,1.4174496617882148e-6,6.42880157857843e-7,6.745842884354308e-7,9.388989037255702e-6,8.697102000167681e-6,1.4195869311081444e-6,1.0150717367055679e-7,4.7246982867847493e-7,2.4688604517675233e-7,1.1597505119019156e-7,0.0,3.06307567598191e-5,0.0,0.0,2.8484058354560775e-7,3.187311016192705e-6,4.137322401295273e-5,0.0002718796824359499,8.784992574724185e-6,1.4717699474092818e-5,1.241406947955571e-5
4.065022399598228e-6,3.80960260069402e-5,2.88531785729048e-5,1.275532374649083e-5,0.0,8.876533392237687e-6,6.348594197071013e-5,1.8648483608176415e-5,2.380786150337093e-5,4.0625002635497924e-6,0.0,7.475390724699523e-7,2.2881524007150742e-7,9.67165121554748e-6,0.0,1.071215149676218e-5,4.0600467318840015e-5,1.5256249053194605e-6,8.732853524748965e-6,1.8713922524398112e-5,3.6223803806274954e-6,5.814925361916031e-7,4.952537293984066e-7,5.666453450756508e-7,2.6571798972186063e-5,1.5269241975385674e-5,0.0006833697126851087,4.2084902414501667e-7,0.0,8.045556774332688e-6,3.380945075159982e-5,0.00044498815904741207,0.005023651305254725,0.00011231450750005809,0.0009355674894359549,0.00024258568062871343
3.182930072400779e-6,4.224435372985234e-5,3.0911116816034096e-5,1.539061878866449e-5,9.353102114459769e-7,8.793903004923884e-6,6.833381162678416e-5,2.4461451321569728e-5,2.6593058047984694e-5,9.79012470856354e-6,0.0,1.3849555847763602e-6,3.096260272202705e-7,1.2288558849499913e-5,0.0,1.1429664147190492e-5,4.0328612923179364e-5,7.836511391504523e-7,1.0864458609980246e-5,2.868460335577842e-5,2.9645114234135543e-6,3.589610737768146e-7,1.4489109905486837e-6,1.2139161570571633e-6,3.053295463854427e-5,1.589378842482097e-5,0.0008199319417047078,7.192420570321096e-7,0.0,1.172340569066322e-5,2.971175771618878e-5,0.0005012106595441068,0.005448588766073015,0.00013218372450761551,0.001031842687855045,0.0002614637207013502
5.309589209683367e-6,6.40721482362717e-5,3.1005178097978414e-5,1.8485555223938477e-5,5.428896352382724e-6,3.280081102358221e-5,8.167443984262294e-5,3.6365418660808585e-5,3.5226253148647746e-5,8.710063464863564e-6,0.0,6.279147095763266e-7,1.182149692553459e-6,1.6137691467427134e-5,3.295045073320264e-7,1.4297580358377565e-5,4.62989039440256e-5,1.9837627125948617e-5,1.7467546299694132e-5,4.6941155266857046e-5,9.004756276226374e-6,1.187921755188583e-6,1.4115001078244422e-6,5.324452080461261e-7,3.2300075464439885e-5,1.8035245725665407e-5,0.0009037065706732012,4.411398350399907e-6,0.0,1.9637548918637332e-5,3.4198826035007146e-5,0.0005346421443815456,0.005763845407158344,0.00014363841092378347,0.0011200259523753936,0.00029352662771310503
8.95606359631519e-6,9.049500589128371e-5,3.769837729198842e-5,4.231762089283719e-5,2.2392978756431983e-5,7.616396990995225e-5,8.557856188221965e-5,3.676562745009855e-5,3.917184548127409e-5,2.0467766354134752e-5,9.998681989824318e-7,1.7955606087040657e-6,3.5827585380116056e-6,2.0997913010926322e-5,2.2718173233279176e-6,3.372467682266051e-5,5.3459358448870017e-5,7.294414649629734e-5,2.816058589293659e-5,5.100592504568855e-5,1.2741070580104683e-5,6.757355524803884e-6,3.247718935963801e-6,7.0271051638794e-7,3.450354054523217e-5,2.8046840161812753e-5,0.0009990285277868642,2.1120718147720213e-5,1.2338379722501638e-5,3.9342360433639095e-5,4.43136906803405e-5,0.0005521038654822394,0.005833257836980749,0.00015712731042861358,0.0011669016310405305,0.000313610172018479
1.444295317201088e-5,6.605579202745822e-5,4.20521578234056e-5,8.404586072004123e-5,3.920367511472885e-5,0.00011305291597806197,9.574757279612373e-5,3.7817543726758564e-5,4.575929409911659e-5,1.7107751244389942e-5,2.3051462372719243e-6,4.313884383907684e-7,8.604524816429914e-6,3.583240787478396e-5,5.294866114357485e-6,6.0611020871794134e-5,6.327602591316763e-5,0.0001244686763093755,2.0436188011579198e-5,4.8115901485550064e-5,1.2286217989225197e-5,8.181886301385223e-6,4.8044968955494455e-6,1.3531769942196212e-6,3.849520085735054e-5,3.0129761233905703e-5,0.001073075230254748,3.8610093723812936e-5,3.338520549336984e-5,7.179693932067758e-5,3.837452153802401e-5,0.0005735666664570452,0.006032289060570589,0.00018115736620655828,0.0011644806338383113,0.00034257294219209157
9.325761450611168e-6,1.6010631012071904e-5,5.907333616454202e-5,0.00012098750728656032,6.43231258035711e-5,0.00015601410560183397,0.00010403341492334554,4.564659616654899e-5,3.92020229670561e-5,2.165460634604577e-5,2.255823422891799e-6,2.7460151656870055e-6,1.1755007494664405e-5,7.849610850345155e-5,7.574227664227014e-6,9.41528491648017e-5,5.955376586125617e-5,0.00019446735518912026,1.6311576717995866e-5,5.06414514849994e-5,9.687922256325346e-6,6.008369012119896e-6,4.3765089384108436e-6,2.885186765251261e-6,1.8811453079882718e-5,1.3125250920733819e-5,0.00045178220534151134,7.933342394065037e-5,5.0079843273195195e-5,0.00012163971286466701,4.4449844190490117e-5,0.00018207742564562297,0.0009463995503560127,0.00014335428247156092,0.0004735847241925309,0.00022678852930403678
1.948602888088991e-5,3.892861711412447e-5,7.291719003540605e-5,0.00015914176060138725,0.00010782315957299916,0.00021034014497126903,0.00011889992876282509,4.863840661413343e-5,3.988929441819472e-5,4.159698547273362e-5,7.045075927990671e-6,2.2211040506122305e-5,2.9872968087868734e-5,7.735872537516483e-5,1.9785394953629925e-5,0.00012133765608727158,9.509795072146367e-5,0.00025835383146219153,2.3851507585141655e-5,8.84848245101363e-5,1.4076706541130888e-5,1.733382407005205e-5,5.726108487909878e-6,8.00352965225163e-6,4.297641964410523e-5,3.74519352614209e-5,0.00046984392222729714,9.672026096627764e-5,0.00010150272159318464,0.00016644427670683742,4.747154781764919e-5,0.00018821056952744215,0.0009389109198391844,0.0001517792064290205,0.000474682828682743,0.0002453281755324892
3.953247283235439e-5,7.876826578372626e-5,9.072740727282942e-5,0.00021650074806950495,0.00012025015398958298,0.00024109947074451684,0.0001195614120318081,5.8061629218357924e-5,5.926932313212027e-5,4.387555992546039e-5,1.4938435378775216e-5,3.1489984591447235e-5,4.455484039606145e-5,0.00011192816379887849,2.6091307335084985e-5,0.0001436860338195465,0.00011792551607959636,0.00031014473127381797,3.7681656243395095e-5,7.745295918392764e-5,1.7045823743355903e-5,4.4160057617693986e-5,1.1423413296143457e-5,1.9577836567794146e-5,5.69902077633673e-5,5.1203830072087926e-5,0.00041681724682602803,0.00013214137921564262,0.00013756610268304435,0.00021836104781292328,5.5502337230297044e-5,0.0001897927938730599,0.0009432652813282978,0.00018538939227851,0.0004903858968758389,0.00024001759164450233
