Well,Strain,Biological replicate,Technical replicate,,Remarks
B4,D39 WT,1,1,0.001889055,
B5,D39 WT,1,2,0.001362032,
B6,D39 WT,1,3,0.001047529,
B8,SV36 WT,1,1,0.004804905,
B9,SV36 WT,1,2,0.023568697,
B10,SV36 WT,1,3,0.004340933,
C4,D39 WT,2,1,0.000590396,
C5,D39 WT,2,2,0.00031876,
C6,D39 WT,2,3,0.00070913,
C8,SV36 WT,2,1,0.005718265,
C9,SV36 WT,2,2,0.007775193,
C10,SV36 WT,2,3,,Too much dust
D4,D39 WT,3,1,0.00020962,
D5,D39 WT,3,2,0.000350717,
D6,D39 WT,3,3,0.000722304,
D8,SV36 WT,3,1,0.024098675,
D9,SV36 WT,3,2,0.008689758,
D10,SV36 WT,3,3,0.021694113,
E4,D39 Dcps,1,1,0.257605082,
E5,D39 Dcps,1,2,0.318740101,
E6,D39 Dcps,1,3,0.274056897,
E8,SV36 cps-mut,1,1,0.204110729,
E9,SV36 cps-mut,1,2,0.2177937,
E10,SV36 cps-mut,1,3,0.268633089,
F4,D39 Dcps,2,1,0.305912602,
F5,D39 Dcps,2,2,0.246718838,
F6,D39 Dcps,2,3,0.319251885,
F8,SV36 cps-mut,2,1,0.226423028,
F9,SV36 cps-mut,2,2,0.226100219,
F10,SV36 cps-mut,2,3,0.271937269,
G4,D39 Dcps,3,1,0.204252194,
G5,D39 Dcps,3,2,0.316975169,
G6,D39 Dcps,3,3,0.279593216,
G8,SV36 cps-mut,3,1,0.269341397,
G9,SV36 cps-mut,3,2,0.316797979,
G10,SV36 cps-mut,3,3,0.296245163,
